0,1,2,3,4,5,6,7,8,9
0,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 120, ""top"": 576, ""right"": 412, ""bottom"": 1048}, ""score"": 0.9995220899581909}, {""class_id"": 0, ""bounding_box"": {""left"": 1050, ""top"": 454, ""right"": 1191, ""bottom"": 837}, ""score"": 0.9993119239807129}, {""class_id"": 0, ""bounding_box"": {""left"": 619, ""top"": 289, ""right"": 702, ""bottom"": 475}, ""score"": 0.9989677667617798}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 276, ""right"": 825, ""bottom"": 508}, ""score"": 0.9978039860725403}, {""class_id"": 0, ""bounding_box"": {""left"": 1667, ""top"": 404, ""right"": 1836, ""bottom"": 756}, ""score"": 0.9945502877235413}, {""class_id"": 0, ""bounding_box"": {""left"": 1350, ""top"": 275, ""right"": 1422, ""bottom"": 483}, ""score"": 0.9914394617080688}, {""class_id"": 0, ""bounding_box"": {""left"": 1521, ""top"": 387, ""right"": 1635, ""bottom"": 648}, ""score"": 0.9673835039138794}, {""class_id"": 0, ""bounding_box"": {""left"": 963, ""top"": 313, ""right"": 1015, ""bottom"": 511}, ""score"": 0.8833740949630737}, {""class_id"": 0, ""bounding_box"": {""left"": 1525, ""top"": 379, ""right"": 1751, ""bottom"": 665}, ""score"": 0.5187174677848816}]}}"
1,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 120, ""top"": 576, ""right"": 412, ""bottom"": 1048}, ""score"": 0.9995286464691162}, {""class_id"": 0, ""bounding_box"": {""left"": 1050, ""top"": 454, ""right"": 1191, ""bottom"": 837}, ""score"": 0.9993071556091309}, {""class_id"": 0, ""bounding_box"": {""left"": 619, ""top"": 289, ""right"": 702, ""bottom"": 475}, ""score"": 0.9989870190620422}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 276, ""right"": 825, ""bottom"": 508}, ""score"": 0.9978194236755371}, {""class_id"": 0, ""bounding_box"": {""left"": 1667, ""top"": 403, ""right"": 1836, ""bottom"": 757}, ""score"": 0.9944686889648438}, {""class_id"": 0, ""bounding_box"": {""left"": 1350, ""top"": 275, ""right"": 1422, ""bottom"": 483}, ""score"": 0.991794764995575}, {""class_id"": 0, ""bounding_box"": {""left"": 1517, ""top"": 386, ""right"": 1620, ""bottom"": 647}, ""score"": 0.9615263938903809}, {""class_id"": 0, ""bounding_box"": {""left"": 962, ""top"": 313, ""right"": 1015, ""bottom"": 511}, ""score"": 0.8819601535797119}, {""class_id"": 0, ""bounding_box"": {""left"": 1524, ""top"": 379, ""right"": 1753, ""bottom"": 665}, ""score"": 0.5331052541732788}]}}"
2,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 120, ""top"": 576, ""right"": 412, ""bottom"": 1048}, ""score"": 0.9995291233062744}, {""class_id"": 0, ""bounding_box"": {""left"": 1050, ""top"": 454, ""right"": 1191, ""bottom"": 837}, ""score"": 0.9993157386779785}, {""class_id"": 0, ""bounding_box"": {""left"": 619, ""top"": 289, ""right"": 702, ""bottom"": 475}, ""score"": 0.9989864230155945}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 276, ""right"": 825, ""bottom"": 508}, ""score"": 0.9978275895118713}, {""class_id"": 0, ""bounding_box"": {""left"": 1667, ""top"": 403, ""right"": 1837, ""bottom"": 757}, ""score"": 0.9945376515388489}, {""class_id"": 0, ""bounding_box"": {""left"": 1350, ""top"": 275, ""right"": 1422, ""bottom"": 483}, ""score"": 0.9920658469200134}, {""class_id"": 0, ""bounding_box"": {""left"": 1517, ""top"": 388, ""right"": 1625, ""bottom"": 642}, ""score"": 0.9652280807495117}, {""class_id"": 0, ""bounding_box"": {""left"": 963, ""top"": 313, ""right"": 1015, ""bottom"": 511}, ""score"": 0.8867975473403931}, {""class_id"": 0, ""bounding_box"": {""left"": 1525, ""top"": 378, ""right"": 1754, ""bottom"": 666}, ""score"": 0.5060848593711853}]}}"
3,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 120, ""top"": 576, ""right"": 412, ""bottom"": 1048}, ""score"": 0.9995294809341431}, {""class_id"": 0, ""bounding_box"": {""left"": 1050, ""top"": 454, ""right"": 1191, ""bottom"": 837}, ""score"": 0.9993114471435547}, {""class_id"": 0, ""bounding_box"": {""left"": 619, ""top"": 289, ""right"": 702, ""bottom"": 475}, ""score"": 0.9989855885505676}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 276, ""right"": 825, ""bottom"": 508}, ""score"": 0.9978222846984863}, {""class_id"": 0, ""bounding_box"": {""left"": 1667, ""top"": 403, ""right"": 1837, ""bottom"": 757}, ""score"": 0.9945354461669922}, {""class_id"": 0, ""bounding_box"": {""left"": 1350, ""top"": 275, ""right"": 1422, ""bottom"": 483}, ""score"": 0.9920280575752258}, {""class_id"": 0, ""bounding_box"": {""left"": 1518, ""top"": 386, ""right"": 1620, ""bottom"": 647}, ""score"": 0.9630445241928101}, {""class_id"": 0, ""bounding_box"": {""left"": 963, ""top"": 313, ""right"": 1015, ""bottom"": 511}, ""score"": 0.8877211213111877}, {""class_id"": 0, ""bounding_box"": {""left"": 1525, ""top"": 378, ""right"": 1755, ""bottom"": 666}, ""score"": 0.5087388157844543}]}}"
4,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 120, ""top"": 576, ""right"": 412, ""bottom"": 1048}, ""score"": 0.9995341300964355}, {""class_id"": 0, ""bounding_box"": {""left"": 1050, ""top"": 454, ""right"": 1191, ""bottom"": 837}, ""score"": 0.9993127584457397}, {""class_id"": 0, ""bounding_box"": {""left"": 619, ""top"": 289, ""right"": 702, ""bottom"": 475}, ""score"": 0.9989689588546753}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 276, ""right"": 825, ""bottom"": 508}, ""score"": 0.9978238344192505}, {""class_id"": 0, ""bounding_box"": {""left"": 1667, ""top"": 403, ""right"": 1837, ""bottom"": 757}, ""score"": 0.9945072531700134}, {""class_id"": 0, ""bounding_box"": {""left"": 1350, ""top"": 275, ""right"": 1422, ""bottom"": 483}, ""score"": 0.9919676184654236}, {""class_id"": 0, ""bounding_box"": {""left"": 1517, ""top"": 388, ""right"": 1625, ""bottom"": 642}, ""score"": 0.9659477472305298}, {""class_id"": 0, ""bounding_box"": {""left"": 963, ""top"": 313, ""right"": 1015, ""bottom"": 511}, ""score"": 0.8876188397407532}, {""class_id"": 0, ""bounding_box"": {""left"": 1525, ""top"": 379, ""right"": 1752, ""bottom"": 665}, ""score"": 0.5142804980278015}]}}"
5,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 120, ""top"": 576, ""right"": 412, ""bottom"": 1048}, ""score"": 0.9995273351669312}, {""class_id"": 0, ""bounding_box"": {""left"": 1050, ""top"": 454, ""right"": 1191, ""bottom"": 837}, ""score"": 0.9993213415145874}, {""class_id"": 0, ""bounding_box"": {""left"": 619, ""top"": 289, ""right"": 702, ""bottom"": 475}, ""score"": 0.9989705085754395}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 276, ""right"": 825, ""bottom"": 508}, ""score"": 0.9978298544883728}, {""class_id"": 0, ""bounding_box"": {""left"": 1667, ""top"": 403, ""right"": 1837, ""bottom"": 757}, ""score"": 0.9943958520889282}, {""class_id"": 0, ""bounding_box"": {""left"": 1350, ""top"": 275, ""right"": 1422, ""bottom"": 483}, ""score"": 0.9921450018882751}, {""class_id"": 0, ""bounding_box"": {""left"": 1517, ""top"": 388, ""right"": 1625, ""bottom"": 642}, ""score"": 0.9663510322570801}, {""class_id"": 0, ""bounding_box"": {""left"": 962, ""top"": 313, ""right"": 1015, ""bottom"": 511}, ""score"": 0.8861852884292603}]}}"
6,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 169, ""top"": 590, ""right"": 468, ""bottom"": 1063}, ""score"": 0.9997900128364563}, {""class_id"": 0, ""bounding_box"": {""left"": 1051, ""top"": 463, ""right"": 1189, ""bottom"": 858}, ""score"": 0.9994797110557556}, {""class_id"": 0, ""bounding_box"": {""left"": 616, ""top"": 290, ""right"": 702, ""bottom"": 475}, ""score"": 0.9987906813621521}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 278, ""right"": 818, ""bottom"": 507}, ""score"": 0.9961705803871155}, {""class_id"": 0, ""bounding_box"": {""left"": 1353, ""top"": 286, ""right"": 1430, ""bottom"": 489}, ""score"": 0.9948129653930664}, {""class_id"": 0, ""bounding_box"": {""left"": 1675, ""top"": 417, ""right"": 1845, ""bottom"": 766}, ""score"": 0.9759097695350647}, {""class_id"": 0, ""bounding_box"": {""left"": 963, ""top"": 317, ""right"": 1013, ""bottom"": 523}, ""score"": 0.9410678148269653}, {""class_id"": 0, ""bounding_box"": {""left"": 1538, ""top"": 389, ""right"": 1640, ""bottom"": 670}, ""score"": 0.9274327754974365}]}}"
7,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 169, ""top"": 590, ""right"": 468, ""bottom"": 1063}, ""score"": 0.9997910857200623}, {""class_id"": 0, ""bounding_box"": {""left"": 1051, ""top"": 463, ""right"": 1189, ""bottom"": 858}, ""score"": 0.999485969543457}, {""class_id"": 0, ""bounding_box"": {""left"": 616, ""top"": 290, ""right"": 702, ""bottom"": 475}, ""score"": 0.9987726807594299}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 278, ""right"": 818, ""bottom"": 507}, ""score"": 0.9961357712745667}, {""class_id"": 0, ""bounding_box"": {""left"": 1353, ""top"": 287, ""right"": 1430, ""bottom"": 489}, ""score"": 0.9948305487632751}, {""class_id"": 0, ""bounding_box"": {""left"": 1663, ""top"": 421, ""right"": 1841, ""bottom"": 768}, ""score"": 0.9639523029327393}, {""class_id"": 0, ""bounding_box"": {""left"": 963, ""top"": 318, ""right"": 1013, ""bottom"": 523}, ""score"": 0.9406099915504456}, {""class_id"": 0, ""bounding_box"": {""left"": 1538, ""top"": 389, ""right"": 1640, ""bottom"": 670}, ""score"": 0.9280923008918762}]}}"
8,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 169, ""top"": 590, ""right"": 468, ""bottom"": 1063}, ""score"": 0.9997901320457458}, {""class_id"": 0, ""bounding_box"": {""left"": 1051, ""top"": 463, ""right"": 1189, ""bottom"": 858}, ""score"": 0.9994832277297974}, {""class_id"": 0, ""bounding_box"": {""left"": 616, ""top"": 290, ""right"": 702, ""bottom"": 475}, ""score"": 0.9987860321998596}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 278, ""right"": 818, ""bottom"": 507}, ""score"": 0.9962014555931091}, {""class_id"": 0, ""bounding_box"": {""left"": 1353, ""top"": 287, ""right"": 1430, ""bottom"": 489}, ""score"": 0.9948179125785828}, {""class_id"": 0, ""bounding_box"": {""left"": 1662, ""top"": 424, ""right"": 1841, ""bottom"": 768}, ""score"": 0.9630815386772156}, {""class_id"": 0, ""bounding_box"": {""left"": 1538, ""top"": 389, ""right"": 1640, ""bottom"": 670}, ""score"": 0.927353024482727}, {""class_id"": 0, ""bounding_box"": {""left"": 962, ""top"": 318, ""right"": 1013, ""bottom"": 522}, ""score"": 0.9195616245269775}]}}"
9,"{""perception"": {""object_detection_list"": [{""class_id"": 0, ""bounding_box"": {""left"": 169, ""top"": 590, ""right"": 468, ""bottom"": 1063}, ""score"": 0.9997913241386414}, {""class_id"": 0, ""bounding_box"": {""left"": 1051, ""top"": 464, ""right"": 1189, ""bottom"": 858}, ""score"": 0.9994812607765198}, {""class_id"": 0, ""bounding_box"": {""left"": 616, ""top"": 291, ""right"": 702, ""bottom"": 475}, ""score"": 0.9987926483154297}, {""class_id"": 0, ""bounding_box"": {""left"": 753, ""top"": 278, ""right"": 818, ""bottom"": 507}, ""score"": 0.9962915182113647}, {""class_id"": 0, ""bounding_box"": {""left"": 1353, ""top"": 287, ""right"": 1430, ""bottom"": 489}, ""score"": 0.9949430823326111}, {""class_id"": 0, ""bounding_box"": {""left"": 1663, ""top"": 422, ""right"": 1841, ""bottom"": 768}, ""score"": 0.9645572900772095}, {""class_id"": 0, ""bounding_box"": {""left"": 1538, ""top"": 389, ""right"": 1640, ""bottom"": 670}, ""score"": 0.9266507625579834}, {""class_id"": 0, ""bounding_box"": {""left"": 962, ""top"": 318, ""right"": 1013, ""bottom"": 521}, ""score"": 0.9229503273963928}]}}"
